,Variable,P-Value
192,has_manufacture_res1000_mean_3x3,0.17570716221934884
895,has_residence_res30_distance_std_dev_9x9,0.17611834564999718
120,street_orientation_res100,0.17618147073595714
238,sentinel_2_awei_sh_mean_3x3,0.1764577225036585
137,building_year_res30_mean_3x3,0.17818807131351705
437,sd_level2_res30_mean_5x5,0.17925818955705947
753,sentinel_2_nbr_mean_9x9,0.179792241680635
659,canopy_heigth_res30_mean_9x9,0.1799840948007702
831,zonedist_level3_res1000_std_dev_9x9,0.18048840705392216
236,sentinel_2_ndwi_mean_3x3,0.1808531669906937
233,sentinel_2_gndvi_mean_3x3,0.1808531669906937
27,swir16,0.18210212500572234
86,has_park_res500,0.1825904057718356
435,overlay_level1_res30_mean_5x5,0.18280500312363265
494,sentinel_2_awei_nsh_mean_5x5,0.18334112990641638
16,canopy_heigth_count_res10,0.18461652190507097
101,sentinel_2_ndvi,0.1873164845338297
106,sentinel_2_msavi,0.1874188125081156
103,sentinel_2_savi,0.18748705241867952
495,sentinel_2_awei_sh_mean_5x5,0.18770896878813492
767,has_residence_res30_distance_mean_9x9,0.18791250718508784
4,building_year_res100,0.18807185994256645
193,has_commercial_res1000_mean_3x3,0.19000300321548963
429,ndbi_mean_5x5,0.1918231502361041
134,building_area_res100_mean_3x3,0.19270552023692145
140,building_area_per_pixel_res100_mean_3x3,0.19272293206806876
266,building_year_res30_std_dev_3x3,0.19386232238998047
71,has_commercial_res200,0.1946268936866461
411,green_mean_5x5,0.19496527913837325
23,red,0.19656792436166048
718,has_residence_res30_mean_9x9,0.20001147641805414
523,building_year_res30_std_dev_5x5,0.20015189685106854
462,has_residence_res30_mean_5x5,0.20023636352327162
885,sentinel_2_ibi_std_dev_9x9,0.20222694075054706
122,street_traffic_res30,0.20312509055335437
186,has_commercial_res100_mean_3x3,0.2032747434416514
846,has_residence_res30_std_dev_9x9,0.2044930777563055
410,blue_mean_5x5,0.20660772310146008
409,red_mean_5x5,0.20835342124369802
197,zonedist_level3_res200_mean_3x3,0.20995839428007015
792,hcho_july24_std_dev_9x9,0.21075338180017156
356,B09_std_dev_3x3,0.21107904811014552
630,sentinel_2_albedo_std_dev_5x5,0.21131775908359393
497,sentinel_2_nbr_mean_5x5,0.21187693385683662
840,has_manufacture_res200_std_dev_9x9,0.21753468671850157
133,building_year_res100_mean_3x3,0.21788472901724018
94,B06,0.2184221546034414
813,ndbi_std_dev_9x9,0.21981780846118787
415,coastal_mean_5x5,0.22133502934762422
242,sentinel_2_ndbi_mean_3x3,0.22406168895280482
217,population_res1000_mean_3x3,0.2240617287811449
142,building_area_per_pixel_res30_mean_3x3,0.22680728839298525
138,building_area_res30_mean_3x3,0.22680728839298525
750,sentinel_2_awei_nsh_mean_9x9,0.22714542743131627
426,ndsi_mean_5x5,0.22950754726330322
498,sentinel_2_si_mean_5x5,0.229705278706124
